cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
5240	89	2	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Diazanaphthalenes	1.0	Benzodiazines	1.0	Quinazolines	1.0	Aromatic heteropolycyclic compounds	1.0
2563	S1364	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2564	96	2	Organic compounds	0.5	Organic acids and derivatives	0.5	Peptidomimetics	0.5	Depsipeptides	0.5	Depsipeptides	0.5	Aliphatic acyclic compounds	0.5
3051	96	2	Organic compounds	0.5	Organic acids and derivatives	0.5	Peptidomimetics	0.5	Depsipeptides	0.5	Depsipeptides	0.5	Aliphatic acyclic compounds	0.5
2565	189	2	Organic compounds	0.5	Organic acids and derivatives	0.5	Peptidomimetics	0.5	Depsipeptides	0.5	Depsipeptides	0.5	Aliphatic acyclic compounds	0.5
3052	189	2	Organic compounds	0.5	Organic acids and derivatives	0.5	Peptidomimetics	0.5	Depsipeptides	0.5	Depsipeptides	0.5	Aliphatic acyclic compounds	0.5
2566	S1365	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2567	S1366	1	Organic compounds	1.0	Lipids and lipid-like molecules	1.0	Fatty Acyls	1.0	Fatty alcohols	1.0	Long-chain fatty alcohols	1.0	Aromatic homomonocyclic compounds	1.0
2568	S1367	1	Organic compounds	1.0	Lipids and lipid-like molecules	1.0	Fatty Acyls	1.0	Fatty alcohols	1.0	Long-chain fatty alcohols	1.0	Aromatic homomonocyclic compounds	1.0
2569	S1368	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
257	S1369	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2570	S1370	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2572	S1371	1	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Cinnamaldehydes	1.0		1.0	Cinnamaldehydes	1.0	Aromatic homomonocyclic compounds	1.0
2573	5	5	Organic compounds	0.6	Benzenoids	0.4	Benzene and substituted derivatives	0.4	Benzyloxycarbonyls	0.4	Benzyloxycarbonyls	0.4	Aromatic homomonocyclic compounds	0.6
4260	5	5	Organic compounds	0.6	Benzenoids	0.4	Benzene and substituted derivatives	0.4	Benzyloxycarbonyls	0.4	Benzyloxycarbonyls	0.4	Aromatic homomonocyclic compounds	0.6
4540	5	5	Organic compounds	0.6	Benzenoids	0.4	Benzene and substituted derivatives	0.4	Benzyloxycarbonyls	0.4	Benzyloxycarbonyls	0.4	Aromatic homomonocyclic compounds	0.6
