cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
2875	S1728	1	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Isoflavonoids	1.0	Isoflavans	1.0	8-prenylated isoflavanones	1.0	Aromatic heteropolycyclic compounds	1.0
2876	S1729	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2877	S1730	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Peptidomimetics	1.0	Depsipeptides	1.0	Cyclic depsipeptides	1.0	Aliphatic heteromonocyclic compounds	1.0
2878	S1731	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2879	S1732	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
288	S1733	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2880	S1734	1	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Coumarins and derivatives	1.0		1.0	Coumarins and derivatives	1.0	Aromatic heteropolycyclic compounds	1.0
2881	S1735	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2884	S1736	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2885	S1737	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2886	S1738	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2887	S1739	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2888	S1740	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2889	S1741	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
289	S1742	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2890	S1743	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
